title,review_value,reviewer_name,date_of_review,review_text,aircraft,traveller_type,seat_type,route,date_flown,seat_comfort_rating,cabin_staff_service_rating,food_and_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommendation,source,destination,airlines
"""Best I've ever flown""",10.0,Keith Kenny,2019-02-14,"✅ Trip Verified |  Bangkok to Vancouver via Haneda. Every other airline better raise the bar. Great service, legroom, entertainment and meals. Fast smooth flights. Best I've ever flown with. And the price I booked for was very competitive. Had a small problem with luggage transfer, but the customer service at Haneda went to great lengths to solve.",Boeing 787,Couple Leisure,Economy Class,Bangkok to Vancouver via Haneda,2019-02-01,5.0,5.0,5.0,5.0,4.0,5,yes,Bangkok,Vancouver ,ana all nippon airways
"""Service was quiet and unobtrusive""",9.0,T Lee,2019-01-22,"✅ Trip Verified | Early morning departure from Singapore on B777-300ER. Boarding was uncomplicated, and business class window seat was really spacious and private, with only 1-2-1 arrangement. Seating allowed multiple adjustments (electronic), including lie-flat. Multiple nooks and crannies for item storage. Service was quiet and unobtrusive throughout. Menu choices had Japanese or Western on offer, and a wide selection of titbits including ramen as snacks. Crew were constantly around and kept busy with food offerings, but always smiling and polite. IFE choices were good, with wide selection of music, movies and TV shows. Toilets were kept immaculately clean throughout. B777 was a touch noisier than the B787, but overall, still a very pleasant experience.",Boeing 777-300ER,Solo Leisure,Business Class,Singapore to Tokyo Narita,2019-01-01,5.0,5.0,5.0,5.0,5.0,4,yes,Singapore,Tokyo Narita,ana all nippon airways
"""very comfortable experience""",9.0,S Gormin,2018-12-28,"✅ Trip Verified |  Phnom Penh to Tokyo. As usual with ANA a very comfortable experience. Flight left perfectly on time after a well organised boarding. Welcoming flight attendants served a light snack quickly after departure at 23h00, which allowed the cabin to be dimmed after less than one hour into the flight. The cabin was clean and comfortable and the entertainment selection is good. Breakfast was served 2,5 hours before landing, which I would have preferred to be later since that only was a few hours after departure.",Boeing 787,Business,Economy Class,Phnom Penh to Tokyo,2018-12-01,5.0,5.0,5.0,5.0,5.0,4,yes,Phnom Penh,Tokyo,ana all nippon airways
"""Simply the best airline""",10.0,W Jewell,2018-12-10,✅ Trip Verified | Frankfurt to Tokyo. Simply the best airline even in economy. You feel like you are an important traveller. Cabin crew is so kind and gentle. I am an anxious traveller and they come so many times to know about me. The meal were so good and the snacks are at your disposal when you want. This my second time with ANA and if I could I will always fly with them. The Pilot made a smooth landing in Haneda and smooth take off. One of my best flight. You can bring two luggage of 23kg in economy class. This was the best for christmas gifts.,Boeing 777,Couple Leisure,Economy Class,Frankfurt to Tokyo,2018-11-01,5.0,5.0,5.0,5.0,5.0,5,yes,Frankfurt,Tokyo,ana all nippon airways
"""the best of the best""",10.0,M Galarma,2018-12-04,"✅ Trip Verified |  Manila to Tokyo. Of all the 5 star airlines I have been on, ANA is the best of the best. Cabin crew were so so friendly, cheerful, attentive! They were really amazing. Food was fantastic, seats were comfortable and nice legroom. ANA will be my first choice from now on!",B787-9,Solo Leisure,Economy Class,Manila to Tokyo,2018-11-01,5.0,5.0,5.0,5.0,5.0,5,yes,Manila,Tokyo,ana all nippon airways
"""great service by flight attendants""",10.0,Alejandro CantonDutari,2018-10-29,"✅ Trip Verified |  Flight NH 111 and return NH 112 between Chicago and Tokyo Haneda airport. Seats on the 2-4-3 configuration were comfortable on the 2 side with my son. Food very acceptable, especially the Japanese option. IFE not touch screen fast, but good selection. Best of all was the great service by the flight attendants. Wheel chair right on departure and arrivals with help through immigration. I will fly ANA again. BTW, my trip originated in Panama, and was given all boarding passes at the origin of the flights going to Japan and returning to Panama.",Boeing 777-300,Solo Leisure,Economy Class,Chicago to Tokyo Haneda,2018-10-01,5.0,5.0,5.0,4.0,5.0,5,yes,Chicago,Tokyo Haneda,ana all nippon airways
"""like a breath of fresh air""",10.0,Howard Grant,2018-10-09,"✅ Trip Verified |  I usually fly United Airlines when I travel; however, this time I chose ANA all Nippon Airways and it was like a breath of fresh air! So much better and more comfortable and relaxing, less crowded seats, best food on an airline I've had in years, movies available if you don't carry an I pad, and so friendly the stewardess who attended your every need. I arrived in Manila feeling so rested and thankful for such a great fight. I don't know if it's just the Japanese culture, but the stewardess who attended to me should be given some kind of award for being so gracious and kind! Thanks to ANA I don't fear flying anymore but look forward to it! ",Boeing 787,Solo Leisure,Economy Class,Honolulu to Manila viaTokyo,2018-10-01,5.0,5.0,5.0,5.0,5.0,5,yes,Honolulu,Manila ,ana all nippon airways
"""delivers flawless service""",9.0,Sean Arellano,2018-09-03,"✅ Trip Verified |  
Manila to Tokyo. The cabin crew delivers flawless service even in economy class. They are all smiles and willing to help the people on board. The food is very delicious especially the Japanese option. The seat however is a minor setback since it is kinda cramped although bearable enough for a 5 hour flight.",Boeing 787-8,Family Leisure,Economy Class,Manila to Tokyo,2017-10-01,3.0,5.0,5.0,4.0,5.0,3,yes,Manila,Tokyo,ana all nippon airways
"""truly a five-star airline""",9.0,S Zhang,2018-08-26,"✅ Trip Verified |  Hangzhou to Osaka. ANA is truly a five-star airline, from my experience flying with it for the first time. I took the flight from China to Japan, which only took 2 hours and 10 mins. We delayed due to typhoon but I could see the effort that ANA group staff and cabin staff have put in to make their passengers happy and comfortable. One thing I would point out is that I could feel the difference between the tones of speech from those ANA staff and those airport staff. And that tone will initially make the first impression for passengers. On board the flight, I was warmly welcomed by the cabin crew. ANA’s cabin crew hold a very high standard service requirement and they conduct that to a very detailed and careful level. In general, the meal was one of the best I have had for this short flight and the seat was comfortable, too. The flight was very smooth as well and the flight crew kept the passengers updated quite well. The most outstanding detail I noticed about ANA crew was their cooperation during the flight. Very tiny details such as a smile, a please, a two-hand delivery, a small candy, and a poster card gift for children really made their service outstanding. If I would ask one more thing from ANA, it would probably be SMS flight status messages as they can be very beneficial for passengers especially for those with unexpected delays. But overall, this flight with ANA was 9.5/10! ",A320neo,Family Leisure,Economy Class,Hangzhou to Osaka,2018-08-01,5.0,5.0,5.0,5.0,5.0,5,yes,Hangzhou,Osaka,ana all nippon airways
"""Service onboard was very good""",8.0,Suryaputra Wijaksana,2018-07-30,"Not Verified |  Jakarta to Tokyo Haneda. This airline was my first choice for my flight to Japan. The flight schedule was convenient as it departs Jakarta early morning it arrive in Tokyo in the afternoon. Service onboard was very good, with wide range of snacks and beverages. But there was only one meal throughout the 8 hours flight. Fortunately I bought some food with me on board. The plane was technologically advanced than its peers. Seat pitch was OK. IFE was very good.",Boeing 777,Solo Leisure,Economy Class,Jakarta to Tokyo Haneda,2018-01-01,4.0,5.0,4.0,4.0,4.0,5,yes,Jakarta,Tokyo Haneda,ana all nippon airways
"""it was a great flight""",9.0,R Han,2018-07-24,✅ Trip Verified |  Tokyo Haneda to Hong Hong. Overall it was a great flight. Cabin attendants were nice and attentive to details. The meal was carefully crafted and was basically one of the bests I have ever had.,Boeing 777-300ER,Solo Leisure,Business Class,Tokyo Haneda to Hong Hong,2018-06-01,5.0,5.0,5.0,4.0,5.0,4,yes,Tokyo Haneda,Hong Hong,ana all nippon airways
